Word,Tooltip Tip,Glossary Link,File Name
access tokens,"Access Token: Authorization credential, in the form of an opaque string or JWT, used to access an API.",/docs/glossary?term=access+tokens,docs/manage-users/organizations/organizations-for-m2m-applications.mdx
Management API,Management API: A product to allow customers to perform administrative tasks.,/docs/glossary?term=Management+API,docs/manage-users/organizations/organizations-for-m2m-applications.mdx
Auth0 Dashboard,Auth0 Dashboard: Auth0,N/A,docs/manage-users/organizations/configure-organizations/delete-organizations.mdx
Management API,Auth0 Dashboard: Auth0,N/A,docs/manage-users/organizations/configure-organizations/delete-organizations.mdx
Access Token,"Access Token: Authorization credential, in the form of an opaque string or JWT, used to access an API.",/docs/glossary?term=Access+Token,docs/manage-users/organizations/configure-organizations/delete-organizations.mdx
Auth0 Dashboard,Auth0 Dashboard: Auth0,N/A,docs/manage-users/organizations/configure-organizations/disable-connections.mdx
Management API,Auth0 Dashboard: Auth0,N/A,docs/manage-users/organizations/configure-organizations/disable-connections.mdx
Access Token,"Access Token: Authorization credential, in the form of an opaque string or JWT, used to access an API.",/docs/glossary?term=Access+Token,docs/manage-users/organizations/configure-organizations/disable-connections.mdx
Auth0 Dashboard,Auth0 Dashboard: Auth0,N/A,docs/manage-users/organizations/configure-organizations/remove-member-roles.mdx
Management API,Auth0 Dashboard: Auth0,N/A,docs/manage-users/organizations/configure-organizations/remove-member-roles.mdx
Access Token,"Access Token: Authorization credential, in the form of an opaque string or JWT, used to access an API.",/docs/glossary?term=Access+Token,docs/manage-users/organizations/configure-organizations/remove-member-roles.mdx
SSO,"Single Sign-On (SSO): Service that, after a user logs into one applicaton, automatically logs that user in to other applications.",/docs/glossary?term=SSO,docs/manage-users/organizations/configure-organizations/define-organization-behavior.mdx
Auth0 Dashboard,Management API: A product to allow customers to perform administrative tasks.,/docs/glossary?term=Auth0+Dashboard,docs/manage-users/organizations/configure-organizations/define-organization-behavior.mdx
Management API,Auth0 Dashboard: Auth0,N/A,docs/manage-users/organizations/configure-organizations/define-organization-behavior.mdx
client ID,Client ID: Identification value given to your registered resource from Auth0.,/docs/glossary?term=client+ID,docs/manage-users/organizations/configure-organizations/define-organization-behavior.mdx
Access Token,Client ID: Identification value given to your registered resource from Auth0.,/docs/glossary?term=Access+Token,docs/manage-users/organizations/configure-organizations/define-organization-behavior.mdx
Auth0 Dashboard,Auth0 Dashboard: Auth0,N/A,docs/manage-users/organizations/configure-organizations/retrieve-member-roles.mdx
Management API,Management API: A product to allow customers to perform administrative tasks.,/docs/glossary?term=Management+API,docs/manage-users/organizations/configure-organizations/retrieve-member-roles.mdx
Access Token,"Access Token: Authorization credential, in the form of an opaque string or JWT, used to access an API.",/docs/glossary?term=Access+Token,docs/manage-users/organizations/configure-organizations/retrieve-member-roles.mdx
ID tokens,"ID Token: Credential meant for the client itself, rather than for accessing a resource.",/docs/glossary?term=ID+tokens,docs/manage-users/organizations/configure-organizations/use-org-name-authentication-api.mdx
Auth0 Dashboard,Auth0 Dashboard: Auth0,N/A,docs/manage-users/organizations/configure-organizations/use-org-name-authentication-api.mdx
Management API,Auth0 Dashboard: Auth0,N/A,docs/manage-users/organizations/configure-organizations/use-org-name-authentication-api.mdx
Auth0 Dashboard,Auth0 Dashboard: Auth0,N/A,docs/manage-users/organizations/configure-organizations/send-membership-invitations.mdx
Management API,Auth0 Dashboard: Auth0,N/A,docs/manage-users/organizations/configure-organizations/send-membership-invitations.mdx
Access Token,"Access Token: Authorization credential, in the form of an opaque string or JWT, used to access an API.",/docs/glossary?term=Access+Token,docs/manage-users/organizations/configure-organizations/send-membership-invitations.mdx
client ID,Client ID: Identification value given to your registered resource from Auth0.,/docs/glossary?term=client+ID,docs/manage-users/organizations/configure-organizations/send-membership-invitations.mdx
Management API,Management API: A product to allow customers to perform administrative tasks.,/docs/glossary?term=Management+API,docs/manage-users/organizations/configure-organizations/retrieve-organizations.mdx
Access Token,"Access Token: Authorization credential, in the form of an opaque string or JWT, used to access an API.",/docs/glossary?term=Access+Token,docs/manage-users/organizations/configure-organizations/retrieve-organizations.mdx
Management API,Management API: A product to allow customers to perform administrative tasks.,/docs/glossary?term=Management+API,docs/manage-users/organizations/configure-organizations/retrieve-user-membership.mdx
Access Token,"Access Token: Authorization credential, in the form of an opaque string or JWT, used to access an API.",/docs/glossary?term=Access+Token,docs/manage-users/organizations/configure-organizations/retrieve-user-membership.mdx
Auth0 Dashboard,Auth0 Dashboard: Auth0,N/A,docs/manage-users/organizations/configure-organizations/retrieve-connections.mdx
Management API,Auth0 Dashboard: Auth0,N/A,docs/manage-users/organizations/configure-organizations/retrieve-connections.mdx
Access Token,"Access Token: Authorization credential, in the form of an opaque string or JWT, used to access an API.",/docs/glossary?term=Access+Token,docs/manage-users/organizations/configure-organizations/retrieve-connections.mdx
Auth0 Dashboard,Auth0 Dashboard: Auth0,N/A,docs/manage-users/organizations/configure-organizations/enable-connections.mdx
Management API,Management API: A product to allow customers to perform administrative tasks.,/docs/glossary?term=Management+API,docs/manage-users/organizations/configure-organizations/enable-connections.mdx
Auth0 Dashboard,Auth0 Dashboard: Auth0,N/A,docs/manage-users/organizations/configure-organizations/create-organizations.mdx
Management API,Auth0 Dashboard: Auth0,N/A,docs/manage-users/organizations/configure-organizations/create-organizations.mdx
Auth0 Dashboard,Auth0 Dashboard: Auth0,N/A,docs/manage-users/organizations/configure-organizations/add-member-roles.mdx
Management API,Management API: A product to allow customers to perform administrative tasks.,/docs/glossary?term=Management+API,docs/manage-users/organizations/configure-organizations/add-member-roles.mdx
Access Token,"Access Token: Authorization credential, in the form of an opaque string or JWT, used to access an API.",/docs/glossary?term=Access+Token,docs/manage-users/organizations/configure-organizations/add-member-roles.mdx
Auth0 Dashboard,Auth0 Dashboard: Auth0,N/A,docs/manage-users/organizations/configure-organizations/remove-members.mdx
Management API,Auth0 Dashboard: Auth0,N/A,docs/manage-users/organizations/configure-organizations/remove-members.mdx
Access Token,"Access Token: Authorization credential, in the form of an opaque string or JWT, used to access an API.",/docs/glossary?term=Access+Token,docs/manage-users/organizations/configure-organizations/remove-members.mdx
Universal Login,"Universal Login: Your application redirects to Universal Login, hosted on Auth0",N/A,docs/manage-users/organizations/configure-organizations/invite-members.mdx
Management API,Management API: A product to allow customers to perform administrative tasks.,/docs/glossary?term=Management+API,docs/manage-users/organizations/configure-organizations/invite-members.mdx
Auth0 Dashboard,Auth0 Dashboard: Auth0,N/A,docs/manage-users/organizations/configure-organizations/invite-members.mdx
Auth0 Dashboard,Auth0 Dashboard: Auth0,N/A,docs/manage-users/organizations/configure-organizations/assign-members.mdx
Management API,Auth0 Dashboard: Auth0,N/A,docs/manage-users/organizations/configure-organizations/assign-members.mdx
Access Token,"Access Token: Authorization credential, in the form of an opaque string or JWT, used to access an API.",/docs/glossary?term=Access+Token,docs/manage-users/organizations/configure-organizations/assign-members.mdx
Auth0 Dashboard,Auth0 Dashboard: Auth0,N/A,docs/manage-users/organizations/configure-organizations/retrieve-members.mdx
Management API,Auth0 Dashboard: Auth0,N/A,docs/manage-users/organizations/configure-organizations/retrieve-members.mdx
Access Token,"Access Token: Authorization credential, in the form of an opaque string or JWT, used to access an API.",/docs/glossary?term=Access+Token,docs/manage-users/organizations/configure-organizations/retrieve-members.mdx
Auth0 Dashboard,Auth0 Dashboard: Auth0,N/A,docs/manage-users/organizations/organizations-for-m2m-applications/audit-m2m-access.mdx
Management API,Auth0 Dashboard: Auth0,N/A,docs/manage-users/organizations/organizations-for-m2m-applications/audit-m2m-access.mdx
MFA,Multi-factor authentication (MFA): User authentication process that uses a factor in addition to username and password such as a code via SMS.,/docs/glossary?term=MFA,docs/manage-users/user-migration/bulk-user-import-schema.mdx
Management API,Management API: A product to allow customers to perform administrative tasks.,/docs/glossary?term=Management+API,docs/manage-users/user-migration/configure-automatic-migration-from-your-database.mdx
Auth0 Dashboard,Auth0 Dashboard: Auth0,N/A,docs/manage-users/user-migration/configure-automatic-migration-from-your-database.mdx
MFA,Multi-factor authentication (MFA): User authentication process that uses a factor in addition to username and password such as a code via SMS.,/docs/glossary?term=MFA,docs/manage-users/user-migration/bulk-user-imports.mdx
Management API,Management API: A product to allow customers to perform administrative tasks.,/docs/glossary?term=Management+API,docs/manage-users/user-migration/bulk-user-imports.mdx
Access Token,"Access Token: Authorization credential, in the form of an opaque string or JWT, used to access an API.",/docs/glossary?term=Access+Token,docs/manage-users/user-migration/bulk-user-imports.mdx
Management API,Management API: A product to allow customers to perform administrative tasks.,/docs/glossary?term=Management+API,docs/manage-users/user-migration/user-import-export-extension.mdx
Auth0 Dashboard,Auth0 Dashboard: Auth0,N/A,docs/manage-users/user-migration/bulk-user-exports.mdx
Auth0 Dashboard,Auth0 Dashboard: Auth0,N/A,docs/manage-users/sessions/configure-session-lifetime-settings.mdx
Management API,Auth0 Dashboard: Auth0,N/A,docs/manage-users/sessions/configure-session-lifetime-settings.mdx
Access Token,"Access Token: Authorization credential, in the form of an opaque string or JWT, used to access an API.",/docs/glossary?term=Access+Token,docs/manage-users/sessions/configure-session-lifetime-settings.mdx
refresh tokens,Refresh Token: Token used to obtain a renewed Access Token without forcing users to log in again.,/docs/glossary?term=refresh+tokens,docs/manage-users/sessions/manage-user-sessions-with-auth0-management-api.mdx
Management API,Management API: A product to allow customers to perform administrative tasks.,/docs/glossary?term=Management+API,docs/manage-users/sessions/manage-user-sessions-with-auth0-management-api.mdx
SAML,Security Assertion Markup Language (SAML): Standardized protocol allowing two parties to exchange authentication information without a password.,/docs/glossary?term=SAML,docs/manage-users/sessions/manage-sessions-actions.mdx
WS-Fed,Security Assertion Markup Language (SAML): Standardized protocol allowing two parties to exchange authentication information without a password.,/docs/glossary?term=WS-Fed,docs/manage-users/sessions/manage-sessions-actions.mdx
refresh tokens,Refresh Token: Token used to obtain a renewed Access Token without forcing users to log in again.,/docs/glossary?term=refresh+tokens,docs/manage-users/sessions/manage-sessions-actions.mdx
session cookie,"Session Cookie: Entity that, when present, allows the user to be considered authenticated.",/docs/glossary?term=session+cookie,docs/manage-users/sessions/non-persistent-sessions.mdx
Management API,Management API: A product to allow customers to perform administrative tasks.,/docs/glossary?term=Management+API,docs/manage-users/sessions/non-persistent-sessions.mdx
Multi-Factor Authentication,Multi-factor authentication (MFA): User authentication process that uses a factor in addition to username and password such as a code via SMS.,/docs/glossary?term=Multi-Factor+Authentication,docs/manage-users/sessions/non-persistent-sessions.mdx
authorization server,"Authorization Server: Centralized server that contributes to defining the boundaries of a user’s access. For example, your authorization server can control the data, tasks, and features available to a user.",/docs/glossary?term=authorization+server,docs/manage-users/sessions/non-persistent-sessions.mdx
SSO,"Single Sign-On (SSO): Service that, after a user logs into one applicaton, automatically logs that user in to other applications.",/docs/glossary?term=SSO,docs/manage-users/sessions/manage-multi-site-sessions.mdx
ID Token,"ID Token: Credential meant for the client itself, rather than for accessing a resource.",/docs/glossary?term=ID+Token,docs/manage-users/sessions/manage-multi-site-sessions.mdx
Access Token,"Access Token: Authorization credential, in the form of an opaque string or JWT, used to access an API.",/docs/glossary?term=Access+Token,docs/manage-users/sessions/manage-multi-site-sessions.mdx
audience,"Audience: Unique identifier of the audience for an issued token. Named aud in a token, its value contains the ID of either an application (Client ID) for an ID Token or an API (API Identifier) for an Access Token.",/docs/glossary?term=audience,docs/manage-users/sessions/manage-multi-site-sessions.mdx
Authorization Server,"Authorization Server: Centralized server that contributes to defining the boundaries of a user’s access. For example, your authorization server can control the data, tasks, and features available to a user.",/docs/glossary?term=Authorization+Server,docs/manage-users/sessions/session-layers.mdx
SSO,"Single Sign-On (SSO): Service that, after a user logs into one applicaton, automatically logs that user in to other applications.",/docs/glossary?term=SSO,docs/manage-users/sessions/session-layers.mdx
Identity Provider,Identity Provider (IdP): Service that stores and manages digital identities.,/docs/glossary?term=Identity+Provider,docs/manage-users/sessions/session-layers.mdx
session cookie,"Session Cookie: Entity that, when present, allows the user to be considered authenticated.",/docs/glossary?term=session+cookie,docs/manage-users/sessions/session-lifetime-limits.mdx
Authorization Server,"Session Cookie: Entity that, when present, allows the user to be considered authenticated.",/docs/glossary?term=Authorization+Server,docs/manage-users/sessions/session-lifetime-limits.mdx
Management API,Management API: A product to allow customers to perform administrative tasks.,/docs/glossary?term=Management+API,docs/manage-users/sessions/session-lifetime-limits.mdx
identity provider,Identity Provider (IdP): Service that stores and manages digital identities.,/docs/glossary?term=identity+provider,docs/manage-users/sessions/session-lifetime-limits.mdx
Management API,Management API: A product to allow customers to perform administrative tasks.,/docs/glossary?term=Management+API,docs/manage-users/user-search/retrieve-users-with-get-users-endpoint.mdx
Management API,Management API: A product to allow customers to perform administrative tasks.,/docs/glossary?term=Management+API,docs/manage-users/user-search/user-search-query-syntax.mdx
Management API,Management API: A product to allow customers to perform administrative tasks.,/docs/glossary?term=Management+API,docs/manage-users/user-search/user-search-best-practices.mdx
identity providers,Identity Provider (IdP): Service that stores and manages digital identities.,/docs/glossary?term=identity+providers,docs/manage-users/user-accounts/user-profiles.mdx
SAML,Identity Provider (IdP): Service that stores and manages digital identities.,/docs/glossary?term=SAML,docs/manage-users/user-accounts/user-profiles.mdx
ID token,JSON Web Token (JWT): Standard ID Token format (and often Access Token format) used to represent claims securely between two parties.,/docs/glossary?term=ID+token,docs/manage-users/user-accounts/user-profiles.mdx
JWT,"ID Token: Credential meant for the client itself, rather than for accessing a resource.",/docs/glossary?term=JWT,docs/manage-users/user-accounts/user-profiles.mdx
Management API,Management API: A product to allow customers to perform administrative tasks.,/docs/glossary?term=Management+API,docs/manage-users/user-accounts/user-profiles.mdx
client secret,Client Secret: Secret used by a client (application) to authenticate with the Authorization Server; it should be known to only the client and the Authorization Server and must be sufficiently random to not be guessable.,/docs/glossary?term=client+secret,docs/manage-users/user-accounts/user-profiles.mdx
access token,"Access Token: Authorization credential, in the form of an opaque string or JWT, used to access an API.",/docs/glossary?term=access+token,docs/manage-users/user-accounts/user-profiles.mdx
Refresh token,Refresh Token: Token used to obtain a renewed Access Token without forcing users to log in again.,/docs/glossary?term=Refresh+token,docs/manage-users/user-accounts/user-profiles.mdx
identity provider,Identity Provider (IdP): Service that stores and manages digital identities.,/docs/glossary?term=identity+provider,docs/manage-users/user-accounts/metadata.mdx
Management API,Management API: A product to allow customers to perform administrative tasks.,/docs/glossary?term=Management+API,docs/manage-users/user-accounts/metadata.mdx
Auth0 Dashboard,Auth0 Dashboard: Auth0,N/A,docs/manage-users/user-accounts/metadata.mdx
ID tokens,"ID Token: Credential meant for the client itself, rather than for accessing a resource.",/docs/glossary?term=ID+tokens,docs/manage-users/user-accounts/metadata.mdx
access token,"Access Token: Authorization credential, in the form of an opaque string or JWT, used to access an API.",/docs/glossary?term=access+token,docs/manage-users/user-accounts/metadata.mdx
MFA,Multi-factor authentication (MFA): User authentication process that uses a factor in addition to username and password such as a code via SMS.,/docs/glossary?term=MFA,docs/manage-users/user-accounts/metadata.mdx
identity providers,Identity Provider (IdP): Service that stores and manages digital identities.,/docs/glossary?term=identity+providers,docs/manage-users/user-accounts/change-user-picture.mdx
Management API,Management API: A product to allow customers to perform administrative tasks.,/docs/glossary?term=Management+API,docs/manage-users/user-accounts/change-user-picture.mdx
ID Token,"ID Token: Credential meant for the client itself, rather than for accessing a resource.",/docs/glossary?term=ID+Token,docs/manage-users/user-accounts/change-user-picture.mdx
Auth0 Dashboard,Auth0 Dashboard: Auth0,N/A,docs/manage-users/user-accounts/unlink-devices-from-users.mdx
refresh token,Auth0 Dashboard: Auth0,N/A,docs/manage-users/user-accounts/unlink-devices-from-users.mdx
Access Token,"Access Token: Authorization credential, in the form of an opaque string or JWT, used to access an API.",/docs/glossary?term=Access+Token,docs/manage-users/user-accounts/deny-api-access.mdx
Client ID,Client ID: Identification value given to your registered resource from Auth0.,/docs/glossary?term=Client+ID,docs/manage-users/user-accounts/get-user-information-on-unbounce-landing-pages.mdx
IdP,Identity Provider (IdP): Service that stores and manages digital identities.,/docs/glossary?term=IdP,docs/manage-users/user-accounts/get-user-information-on-unbounce-landing-pages.mdx
Management API,Management API: A product to allow customers to perform administrative tasks.,/docs/glossary?term=Management+API,docs/manage-users/user-accounts/manage-users-using-the-management-api.mdx
access token,Management API: A product to allow customers to perform administrative tasks.,/docs/glossary?term=access+token,docs/manage-users/user-accounts/manage-users-using-the-management-api.mdx
Auth0 Dashboard,Auth0 Dashboard: Auth0,N/A,docs/manage-users/user-accounts/manage-users-using-the-management-api.mdx
identity providers,Identity Provider (IdP): Service that stores and manages digital identities.,/docs/glossary?term=identity+providers,docs/manage-users/user-accounts/manage-users-using-the-management-api.mdx
ID token,"ID Token: Credential meant for the client itself, rather than for accessing a resource.",/docs/glossary?term=ID+token,docs/manage-users/user-accounts/manage-users-using-the-management-api.mdx
Management API,Management API: A product to allow customers to perform administrative tasks.,/docs/glossary?term=Management+API,docs/manage-users/user-accounts/resend-verification-emails.mdx
Identity Provider,Identity Provider (IdP): Service that stores and manages digital identities.,/docs/glossary?term=Identity+Provider,docs/manage-users/user-accounts/view-user-details.mdx
Multi-Factor Authentication,Multi-factor authentication (MFA): User authentication process that uses a factor in addition to username and password such as a code via SMS.,/docs/glossary?term=Multi-Factor+Authentication,docs/manage-users/user-accounts/view-user-details.mdx
Refresh Token,Refresh Token: Token used to obtain a renewed Access Token without forcing users to log in again.,/docs/glossary?term=Refresh+Token,docs/manage-users/user-accounts/view-user-details.mdx
identity providers,Identity Provider (IdP): Service that stores and manages digital identities.,/docs/glossary?term=identity+providers,docs/manage-users/user-accounts/user-account-linking.mdx
passwordless,Passwordless: Form of authentication that does not rely on a password as the first factor.,/docs/glossary?term=passwordless,docs/manage-users/user-accounts/user-account-linking.mdx
identity providers,Identity Provider (IdP): Service that stores and manages digital identities.,/docs/glossary?term=identity+providers,docs/manage-users/user-accounts/manage-users-using-the-dashboard.mdx
Auth0 Dashboard,Auth0 Dashboard: Auth0,N/A,docs/manage-users/user-accounts/manage-users-using-the-dashboard.mdx
Auth0 Dashboard,Auth0 Dashboard: Auth0,N/A,docs/manage-users/user-accounts/block-and-unblock-users.mdx
Management API,Management API: A product to allow customers to perform administrative tasks.,/docs/glossary?term=Management+API,docs/manage-users/user-accounts/block-and-unblock-users.mdx
identity providers,Identity Provider (IdP): Service that stores and manages digital identities.,/docs/glossary?term=identity+providers,docs/manage-users/user-accounts/user-account-linking/user-initiated-account-linking-client-side-implementation.mdx
Management API,Management API: A product to allow customers to perform administrative tasks.,/docs/glossary?term=Management+API,docs/manage-users/user-accounts/user-account-linking/unlink-user-accounts.mdx
JWT,JSON Web Token (JWT): Standard ID Token format (and often Access Token format) used to represent claims securely between two parties.,/docs/glossary?term=JWT,docs/manage-users/user-accounts/user-account-linking/unlink-user-accounts.mdx
identity providers,Identity Provider (IdP): Service that stores and manages digital identities.,/docs/glossary?term=identity+providers,docs/manage-users/user-accounts/user-account-linking/suggested-account-linking-server-side-implementation.mdx
Management API,Management API: A product to allow customers to perform administrative tasks.,/docs/glossary?term=Management+API,docs/manage-users/user-accounts/user-account-linking/link-user-accounts.mdx
access tokens,"Access Token: Authorization credential, in the form of an opaque string or JWT, used to access an API.",/docs/glossary?term=access+tokens,docs/manage-users/user-accounts/user-account-linking/link-user-accounts.mdx
ID token,"ID Token: Credential meant for the client itself, rather than for accessing a resource.",/docs/glossary?term=ID+token,docs/manage-users/user-accounts/user-account-linking/link-user-accounts.mdx
SAML,Security Assertion Markup Language (SAML): Standardized protocol allowing two parties to exchange authentication information without a password.,/docs/glossary?term=SAML,docs/manage-users/user-accounts/metadata/manage-user-metadata.mdx
Management API,Management API: A product to allow customers to perform administrative tasks.,/docs/glossary?term=Management+API,docs/manage-users/user-accounts/metadata/manage-metadata-rules.mdx
identity providers,Identity Provider (IdP): Service that stores and manages digital identities.,/docs/glossary?term=identity+providers,docs/manage-users/user-accounts/metadata/manage-metadata-rules.mdx
Management API,Management API: A product to allow customers to perform administrative tasks.,/docs/glossary?term=Management+API,docs/manage-users/user-accounts/metadata/manage-metadata-api.mdx
Management API,Management API: A product to allow customers to perform administrative tasks.,/docs/glossary?term=Management+API,docs/manage-users/user-accounts/metadata/configure-application-metadata.mdx
SAML,Security Assertion Markup Language (SAML): Standardized protocol allowing two parties to exchange authentication information without a password.,/docs/glossary?term=SAML,docs/manage-users/user-accounts/metadata/metadata-fields-data.mdx
identity provider,Identity Provider (IdP): Service that stores and manages digital identities.,/docs/glossary?term=identity+provider,docs/manage-users/user-accounts/metadata/metadata-fields-data.mdx
passwordless,Passwordless: Form of authentication that does not rely on a password as the first factor.,/docs/glossary?term=passwordless,docs/manage-users/user-accounts/user-profiles/verified-email-usage.mdx
identity providers,Identity Provider (IdP): Service that stores and manages digital identities.,/docs/glossary?term=identity+providers,docs/manage-users/user-accounts/user-profiles/verified-email-usage.mdx
identity providers,Identity Provider (IdP): Service that stores and manages digital identities.,/docs/glossary?term=identity+providers,docs/manage-users/user-accounts/user-profiles/normalized-user-profile-schema.mdx
Management API,Management API: A product to allow customers to perform administrative tasks.,/docs/glossary?term=Management+API,docs/manage-users/user-accounts/user-profiles/normalized-user-profile-schema.mdx
Management API,Management API: A product to allow customers to perform administrative tasks.,/docs/glossary?term=Management+API,docs/manage-users/user-accounts/user-profiles/update-user-profiles-using-your-database.mdx
IdP,Identity Provider (IdP): Service that stores and manages digital identities.,/docs/glossary?term=IdP,docs/manage-users/user-accounts/user-profiles/progressive-profiling.mdx
Management API,Management API: A product to allow customers to perform administrative tasks.,/docs/glossary?term=Management+API,docs/manage-users/user-accounts/user-profiles/progressive-profiling.mdx
identity provider,Identity Provider (IdP): Service that stores and manages digital identities.,/docs/glossary?term=identity+provider,docs/manage-users/user-accounts/user-profiles/configure-connection-sync-with-auth0.mdx
Auth0 Dashboard,Identity Provider (IdP): Service that stores and manages digital identities.,/docs/glossary?term=Auth0+Dashboard,docs/manage-users/user-accounts/user-profiles/configure-connection-sync-with-auth0.mdx
Management API,Auth0 Dashboard: Auth0,N/A,docs/manage-users/user-accounts/user-profiles/configure-connection-sync-with-auth0.mdx
